Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,City or Regency,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Total Deaths per 100rb,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
15,ID-JB,Jawa Barat,0,0,2,-2,9,2,11,-4,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.00,0.20,0.00,0.04,0.00,22.22%,122.22%,1.00,1.00
15,ID-JT,Jawa Tengah,1,0,1,0,6,9,11,-14,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,0.03,0.16,0.00,0.25,0.02,150.00%,183.33%,0.50,1.00
15,ID-KI,Kalimantan Timur,2,0,0,2,5,0,2,3,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803,0.56,1.41,0.00,0.00,0.00,0.00%,40.00%,0.67,1.00
15,ID-RI,Riau,0,0,0,0,2,0,3,-1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.80,101.8051092,0.511647851,0.00,0.33,0.00,0.00,0.00,0.00%,150.00%,1.00,1.00
15,ID-SG,Sulawesi Tenggara,0,0,0,0,1,0,0,1,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,0.00,0.38,0.00,0.00,0.00,0.00%,0.00%,1.00,1.00
16,ID-BA,Bali,0,0,0,0,1,1,3,-3,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,0.00,0.24,0.00,0.24,0.02,100.00%,300.00%,1.00,1.00
16,ID-BT,Banten,1,0,4,-3,6,7,106,-107,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.09,0.56,0.00,0.65,0.07,116.67%,1766.67%,1.00,1.00
16,ID-JK,DKI Jakarta,2,3,0,-1,63,33,49,-19,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.18,5.81,0.28,3.04,0.30,52.38%,77.78%,0.25,1.00
16,ID-YO,Daerah Istimewa Yogyakarta,1,0,0,1,1,0,1,0,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1,78,46,392,3133,3631015,1158.90,110.4448783,-7.89450185,0.28,0.28,0.00,0.00,0.00,0.00%,100.00%,,
16,IDN,Indonesia,17,0,0,17,134,5,8,121,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.06,0.51,0.00,0.02,0.00,3.73%,5.97%,0.81,1.00
16,ID-JB,Jawa Barat,0,0,2,-2,9,2,13,-6,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.00,0.20,0.00,0.04,0.00,22.22%,144.44%,1.00,1.00
16,ID-JT,Jawa Tengah,1,0,0,1,7,9,11,-13,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,0.03,0.19,0.00,0.25,0.02,128.57%,157.14%,1.00,1.00
16,ID-KI,Kalimantan Timur,1,0,0,1,6,0,2,4,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803,0.28,1.69,0.00,0.00,0.00,0.00%,33.33%,0.50,1.00
16,ID-RI,Riau,0,0,0,0,2,0,3,-1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.80,101.8051092,0.511647851,0.00,0.33,0.00,0.00,0.00,0.00%,150.00%,1.00,1.00
16,ID-SG,Sulawesi Tenggara,2,0,0,2,3,0,0,3,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,0.76,1.14,0.00,0.00,0.00,0.00%,0.00%,,1.00
17,ID-BA,Bali,0,0,0,0,1,1,3,-3,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,0.00,0.24,0.00,0.24,0.02,100.00%,300.00%,1.00,1.00
17,ID-BT,Banten,0,1,3,-4,6,8,109,-111,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.00,0.56,0.09,0.75,0.07,133.33%,1816.67%,0.00,
17,ID-JK,DKI Jakarta,2,1,0,1,65,34,49,-18,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.18,5.99,0.09,3.13,0.31,52.31%,75.38%,1.00,0.33
17,ID-YO,Daerah Istimewa Yogyakarta,0,0,0,0,1,0,1,0,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1,78,46,392,3133,3631015,1158.90,110.4448783,-7.89450185,0.00,0.28,0.00,0.00,0.00,0.00%,100.00%,0.00,1.00
17,IDN,Indonesia,38,0,1,37,172,5,9,158,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.14,0.65,0.00,0.02,0.00,2.91%,5.23%,2.24,1.00
17,ID-JB,Jawa Barat,11,0,0,11,20,2,13,5,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.24,0.44,0.00,0.04,0.00,10.00%,65.00%,,1.00
17,ID-JT,Jawa Tengah,1,0,1,0,8,9,12,-13,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,0.03,0.22,0.00,0.25,0.02,112.50%,150.00%,1.00,1.00
17,ID-KI,Kalimantan Timur,1,0,0,1,7,0,2,5,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803,0.28,1.97,0.00,0.00,0.00,0.00%,28.57%,1.00,1.00
17,ID-RI,Riau,0,0,0,0,2,0,3,-1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.80,101.8051092,0.511647851,0.00,0.33,0.00,0.00,0.00,0.00%,150.00%,1.00,1.00
17,ID-SG,Sulawesi Tenggara,0,0,0,0,3,0,0,3,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,0.00,1.14,0.00,0.00,0.00,0.00%,0.00%,0.00,1.00
17,ID-SU,Sumatera Utara,1,1,0,0,1,1,0,0,Province,,Sumatera Utara,Indonesia,Asia,Sumatera,UTC+07:00,,25,8,450,693,5417,72981,14874889,203.82,99.05196442,2.191894453,0.07,0.07,0.07,0.07,0.01,100.00%,0.00%,,
18,ID-BA,Bali,0,0,0,0,1,1,3,-3,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,0.00,0.24,0.00,0.24,0.02,100.00%,300.00%,1.00,1.00
18,ID-BT,Banten,0,1,1,-2,6,9,110,-113,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.00,0.56,0.09,0.84,0.08,150.00%,1833.33%,1.00,1.00
18,ID-JK,DKI Jakarta,1,1,0,0,66,35,49,-18,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.09,6.09,0.09,3.23,0.32,53.03%,74.24%,0.50,1.00
18,ID-YO,Daerah Istimewa Yogyakarta,0,0,0,0,1,0,1,0,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1,78,46,392,3133,3631015,1158.90,110.4448783,-7.89450185,0.00,0.28,0.00,0.00,0.00,0.00%,100.00%,1.00,1.00
18,IDN,Indonesia,55,14,2,39,227,19,11,197,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.21,0.86,0.05,0.07,0.01,8.37%,4.85%,1.45,
18,ID-JB,Jawa Barat,4,1,2,1,24,3,15,6,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.09,0.53,0.02,0.07,0.01,12.50%,62.50%,0.36,
18,ID-JT,Jawa Tengah,3,1,0,2,11,10,12,-11,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,0.08,0.30,0.03,0.27,0.03,90.91%,109.09%,3.00,
18,ID-JI,Jawa Timur,7,1,0,6,18,33,215,-230,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.17,0.44,0.02,0.82,0.08,183.33%,1194.44%,,
18,ID-KI,Kalimantan Timur,0,0,0,0,7,0,2,5,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803,0.00,1.97,0.00,0.00,0.00,0.00%,28.57%,0.00,1.00
18,ID-RI,Riau,0,0,0,0,2,0,3,-1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.80,101.8051092,0.511647851,0.00,0.33,0.00,0.00,0.00,0.00%,150.00%,1.00,1.00
18,ID-SG,Sulawesi Tenggara,0,0,0,0,3,0,0,3,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,0.00,1.14,0.00,0.00,0.00,0.00%,0.00%,1.00,1.00
18,ID-SU,Sumatera Utara,0,0,0,0,1,1,0,0,Province,,Sumatera Utara,Indonesia,Asia,Sumatera,UTC+07:00,,25,8,450,693,5417,72981,14874889,203.82,99.05196442,2.191894453,0.00,0.07,0.00,0.07,0.01,100.00%,0.00%,0.00,0.00
19,ID-BA,Bali,1,1,0,0,2,2,3,-3,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,0.24,0.47,0.24,0.47,0.05,100.00%,150.00%,,
19,ID-BT,Banten,0,1,3,-4,6,10,113,-117,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.00,0.56,0.09,0.93,0.09,166.67%,1883.33%,1.00,1.00
19,ID-JK,DKI Jakarta,2,0,1,1,68,35,50,-17,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.18,6.27,0.00,3.23,0.32,51.47%,73.53%,2.00,0.00
19,ID-YO,Daerah Istimewa Yogyakarta,0,0,0,0,1,0,1,0,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1,78,46,392,3133,3631015,1158.90,110.4448783,-7.89450185,0.00,0.28,0.00,0.00,0.00,0.00%,100.00%,1.00,1.00
19,IDN,Indonesia,82,6,4,72,309,25,15,269,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.31,1.17,0.02,0.09,0.01,8.09%,4.85%,1.49,0.43
19,ID-JB,Jawa Barat,5,1,1,3,29,4,16,9,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.11,0.64,0.02,0.09,0.01,13.79%,55.17%,1.25,1.00
19,ID-JT,Jawa Tengah,2,0,0,2,13,10,12,-9,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,0.05,0.36,0.00,0.27,0.03,76.92%,92.31%,0.67,0.00
19,ID-JI,Jawa Timur,3,0,0,3,21,33,215,-227,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.07,0.52,0.00,0.82,0.08,157.14%,1023.81%,0.43,0.00
19,ID-KI,Kalimantan Timur,0,0,0,0,7,0,2,5,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803,0.00,1.97,0.00,0.00,0.00,0.00%,28.57%,1.00,1.00
19,ID-KR,Kepulauan Riau,1,1,0,0,1,1,0,0,Province,,Kepulauan Riau,Indonesia,Asia,Sumatera,UTC+07:00,,5,2,75,142,275,8202,1929400,235.24,108.261746,3.916346,0.52,0.52,0.52,0.52,0.05,100.00%,0.00%,,
19,ID-RI,Riau,0,0,0,0,2,0,3,-1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.80,101.8051092,0.511647851,0.00,0.33,0.00,0.00,0.00,0.00%,150.00%,1.00,1.00
19,ID-SN,Sulawesi Selatan,2,0,0,2,2,0,1,1,Province,,Sulawesi Selatan,Indonesia,Asia,Sulawesi,UTC+08:00,,21,3,311,792,2255,46717,9426885,201.78,120.1620559,-3.731080714,0.21,0.21,0.00,0.00,0.00,0.00%,50.00%,,
19,ID-SG,Sulawesi Tenggara,0,0,0,0,3,0,0,3,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,0.00,1.14,0.00,0.00,0.00,0.00%,0.00%,1.00,1.00
19,ID-SU,Sumatera Utara,0,0,0,0,1,1,0,0,Province,,Sumatera Utara,Indonesia,Asia,Sumatera,UTC+07:00,,25,8,450,693,5417,72981,14874889,203.82,99.05196442,2.191894453,0.00,0.07,0.00,0.07,0.01,100.00%,0.00%,1.00,1.00
20,ID-BA,Bali,0,0,0,0,2,2,3,-3,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,0.00,0.47,0.00,0.47,0.05,100.00%,150.00%,0.00,0.00
20,ID-BT,Banten,0,3,3,-6,6,13,116,-123,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.00,0.56,0.28,1.21,0.12,216.67%,1933.33%,1.00,3.00
20,ID-JK,DKI Jakarta,5,3,1,1,73,38,51,-16,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.46,6.73,0.28,3.50,0.35,52.05%,69.86%,2.50,
20,ID-YO,Daerah Istimewa Yogyakarta,1,0,1,0,2,0,2,0,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1,78,46,392,3133,3631015,1158.90,110.4448783,-7.89450185,0.28,0.55,0.00,0.00,0.00,0.00%,100.00%,,1.00
20,IDN,Indonesia,60,7,2,51,369,32,17,320,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.23,1.39,0.03,0.12,0.01,8.67%,4.61%,0.73,1.17
20,ID-JA,Jambi,1,0,0,1,1,0,0,1,Province,,Jambi,Indonesia,Asia,Sumatera,UTC+07:00,,9,2,141,163,1399,50058,3493357,69.79,102.7236404,-1.69769766,0.29,0.29,0.00,0.00,0.00,0.00%,0.00%,,
20,ID-JB,Jawa Barat,16,4,0,12,45,8,16,21,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.35,1.00,0.09,0.18,0.02,17.78%,35.56%,3.20,4.00
20,ID-JT,Jawa Tengah,4,0,1,3,17,10,13,-6,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,0.11,0.47,0.00,0.27,0.03,58.82%,76.47%,2.00,1.00
20,ID-JI,Jawa Timur,9,0,0,9,30,33,215,-218,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.22,0.74,0.00,0.82,0.08,110.00%,716.67%,3.00,1.00
20,ID-KI,Kalimantan Timur,0,0,0,0,7,0,2,5,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803,0.00,1.97,0.00,0.00,0.00,0.00%,28.57%,1.00,1.00
20,ID-KR,Kepulauan Riau,0,0,0,0,1,1,0,0,Province,,Kepulauan Riau,Indonesia,Asia,Sumatera,UTC+07:00,,5,2,75,142,275,8202,1929400,235.24,108.261746,3.916346,0.00,0.52,0.00,0.52,0.05,100.00%,0.00%,0.00,0.00
20,ID-RI,Riau,0,0,0,0,2,0,3,-1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.80,101.8051092,0.511647851,0.00,0.33,0.00,0.00,0.00,0.00%,150.00%,1.00,1.00
20,ID-SN,Sulawesi Selatan,0,0,0,0,2,0,1,1,Province,,Sulawesi Selatan,Indonesia,Asia,Sulawesi,UTC+08:00,,21,3,311,792,2255,46717,9426885,201.78,120.1620559,-3.731080714,0.00,0.21,0.00,0.00,0.00,0.00%,50.00%,0.00,1.00
20,ID-SG,Sulawesi Tenggara,0,0,0,0,3,0,0,3,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,0.00,1.14,0.00,0.00,0.00,0.00%,0.00%,1.00,1.00
20,ID-SU,Sumatera Utara,0,0,0,0,1,1,0,0,Province,,Sumatera Utara,Indonesia,Asia,Sumatera,UTC+07:00,,25,8,450,693,5417,72981,14874889,203.82,99.05196442,2.191894453,0.00,0.07,0.00,0.07,0.01,100.00%,0.00%,1.00,1.00
21,ID-BA,Bali,0,0,0,0,2,2,3,-3,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,0.00,0.47,0.00,0.47,0.05,100.00%,150.00%,1.00,1.00
21,ID-BT,Banten,0,0,2,-2,6,13,118,-125,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.00,0.56,0.00,1.21,0.12,216.67%,1966.67%,1.00,0.00
21,ID-JK,DKI Jakarta,8,3,6,-1,81,41,57,-17,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.74,7.47,0.28,3.78,0.38,50.62%,70.37%,1.60,1.00
21,ID-YO,Daerah Istimewa Yogyakarta,0,0,0,0,2,0,2,0,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1,78,46,392,3133,3631015,1158.90,110.4448783,-7.89450185,0.00,0.55,0.00,0.00,0.00,0.00%,100.00%,0.00,1.00
21,IDN,Indonesia,81,6,3,72,450,38,20,392,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.31,1.70,0.02,0.14,0.01,8.44%,4.44%,1.35,0.86
21,ID-JA,Jambi,0,0,0,0,1,0,0,1,Province,,Jambi,Indonesia,Asia,Sumatera,UTC+07:00,,9,2,141,163,1399,50058,3493357,69.79,102.7236404,-1.69769766,0.00,0.29,0.00,0.00,0.00,0.00%,0.00%,0.00,1.00
21,ID-JB,Jawa Barat,5,0,0,5,50,8,16,26,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.11,1.11,0.00,0.18,0.02,16.00%,32.00%,0.31,0.00
21,ID-JT,Jawa Tengah,1,1,0,0,18,11,13,-6,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,0.03,0.49,0.03,0.30,0.03,61.11%,72.22%,0.25,
21,ID-JI,Jawa Timur,9,1,0,8,39,34,215,-210,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.22,0.96,0.02,0.84,0.08,87.18%,551.28%,1.00,
21,ID-KI,Kalimantan Timur,0,0,0,0,7,0,2,5,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803,0.00,1.97,0.00,0.00,0.00,0.00%,28.57%,1.00,1.00
21,ID-KR,Kepulauan Riau,0,0,0,0,1,1,0,0,Province,,Kepulauan Riau,Indonesia,Asia,Sumatera,UTC+07:00,,5,2,75,142,275,8202,1929400,235.24,108.261746,3.916346,0.00,0.52,0.00,0.52,0.05,100.00%,0.00%,1.00,1.00
21,ID-RI,Riau,0,0,0,0,2,0,3,-1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.80,101.8051092,0.511647851,0.00,0.33,0.00,0.00,0.00,0.00%,150.00%,1.00,1.00
21,ID-SN,Sulawesi Selatan,0,0,0,0,2,0,1,1,Province,,Sulawesi Selatan,Indonesia,Asia,Sulawesi,UTC+08:00,,21,3,311,792,2255,46717,9426885,201.78,120.1620559,-3.731080714,0.00,0.21,0.00,0.00,0.00,0.00%,50.00%,1.00,1.00
21,ID-SG,Sulawesi Tenggara,0,0,0,0,3,0,0,3,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,0.00,1.14,0.00,0.00,0.00,0.00%,0.00%,1.00,1.00
